,Tweet,Subjectivity,Polarity,Score
0,Historically there have been barriers in the healthcare community to fair representation and equity in… ,0.45,0.35,Positive
1,Honored and PfizerProud to see the trust that the public has placed in us reflected in this survey. We never forge… ,0.06666666666666667,0.0,Neutral
2,"COVID19 illuminated the need to improve equity in clinicaltrials.

Next week, our Chief Development Officer… ",0.0,0.0,Neutral
3,Today we published a landmark study on diversity in our clinicaltrials. We conducted this study to set a benchmar… ,0.0,0.0,Neutral
4,"They volunteered🤚 to help change the world🌎 . We're sharing real kids thanking the real heroes, the 12-15 year old… ",0.30000000000000004,0.2,Positive
5,Bladder cancer is most common in patients over 65. Learn more about our commitment to addressing gaps in care for t… ,0.5,0.2333333333333333,Positive
6,"Since 1971  has supported the mental health of Black nurses.

Supported by The Pfizer Foundation, NBNA is a… ",0.31666666666666665,-0.13333333333333333,Negative
7,We are resolute in support of the  TimeToActCancer initiative. Come together and join 20 countries… ,0.0,0.0,Neutral
8,"At Pfizer, we believe partnership is key to advancing exciting areas of breaking science. With the help of leading… ",0.9,0.15,Positive
9,"Our novel prediction model, derived from machinelearning, showed 87% accuracy in predicting wild-type ATTRCM in a… ",0.0,0.0,Neutral
10,"🗣️On EuropeanStrokeAwarenessDay today, in partnership with European Stroke Organisation , we are launching the…",0.0,0.0,Neutral
11,"BREAKING: Today, with , we announced  expanded the Emergency Use Authorization of our… ",0.0,0.0,Neutral
12,The Pfizer-BioNTech COVID-19 Vaccine has not been approved or licensed by FDA but has been authorized for emergency… ,0.0,0.0,Neutral
13,"Congratulations to , whose ScienceBasedTargets have been approved in line with limiting global warming to 1.5°C…",0.0,0.0,Neutral
14,Our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by . Over… ,0.0,0.0,Neutral
15,What progress looks like: &gt;1 million less cancer deaths thanks to the availability of new cancer drugs. We need po… ,0.2404040404040404,0.05656565656565657,Positive
16,"You’ve got questions, we’ve got answers. Visit  for information about Pfizer medications. ",0.0,0.0,Neutral
17,"BREAKING: Today, with , we initiated the submission of a BLA for  approval of the Pfizer-BioNTec… ",0.0,0.0,Neutral
18,"Pfizer's Morris Birnbaum, MD, PhD, recently joined  AspenIdeasHealth 2021 to discuss Pfizer’s commitmen… ",0.25,0.0,Neutral
19,"Covid made it necessary for researchers and scientists to monitor clinical trials from afar. To their surprise, tha… ",1.0,0.0,Neutral
20,"With , we signed a memorandum of understanding w  to work w national Olympic committees &amp; g… ",0.0,0.0,Neutral
21,"On International Day of the Midwife, learn about our partnership with , which is helping prevent… ",0.0,0.0,Neutral
22,"Certain minority populations are 4x more likely to be diagnosed with metastatic melanoma, a more advanced stage of… ",0.6342857142857142,0.32285714285714284,Positive
23,Happy to see doses of the Pfizer-BioNTech COVID19 vaccine have arrived in Bolivia 🇧🇴. Another COVAX delivery and anothe…,1.0,0.8,Positive
24,Our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by . Over… ,0.0,0.0,Neutral
25,Today we have announced we are mobilizing the largest humanitarian relief effort in our company’s history to help t… ,0.0,0.0,Neutral
26,Tick-borne encephalitis (TBE) is a potentially serious but preventable disease transmitted by infected ticks foun… ,0.6666666666666666,-0.3333333333333333,Negative
27,Ticks can carry infections like LymeDisease and tick-borne encephalitis. If you’re planning travel to areas where… ,0.0,0.0,Neutral
28,The  released a report on lessons learned and best practices for integrating displaced… ,0.3,1.0,Positive
29,"We’re proud members of ’s Business Coalition for the Equality Act. Together, we represent: 
•400+ major compani… ",0.75,0.43125,Positive
30,DYK immunization is one of the world’s most successful and cost-effective public health interventions? Here are 4 w… ,0.5055555555555555,0.4166666666666667,Positive
31,"Older people make up a majority of those living with cancer, yet they remain underrepresented in clinicaltrials.… ",0.3333333333333333,0.16666666666666666,Positive
32,"With the recent acquisition of Amplyx Pharmaceuticals, our anti-infectives portfolio has the potential to deliver c… ",0.625,0.0,Neutral
33,Pfizer Medical Information is here to support our front-line healthcare workers. Learn more about our services at ,0.25,0.25,Positive
34,"Creatives, we’re going live in an hour! Help us make health information accessible to *everyone*. Join us via the l… ",0.4375,0.2727272727272727,Positive
35,Proud to stand alongside so many other committed partners to help eliminate trachoma as a public health problem in… ,0.48541666666666666,0.29375,Positive
36,Proud to join the  lineup for a conversation with my friend Shantanu Narayen on how increased use of digital…,1.0,0.8,Positive
37,Calling all creatives! Join us tomorrow for the launch of our Design for Science competition. Tune in @ 4pm ET for… ,0.0,0.0,Neutral
38,"Tomorrow, Pfizer's Morris Birnbaum, MD, PhD, joins  AspenIdeasHealth to discuss our commitment to resea… ",0.0,0.0,Neutral
39,"Next month, our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by… ",0.0,0.0,Neutral
40,"Today we are proud to be a signatory of IPPACT, a unified declaration of 10 key IP principles that demonstrate ou… ",1.0,0.4,Positive
41,This “GPS” for the immune system is helping researchers find new targets for autoimmune diseases. Learn more:… ,0.45454545454545453,0.13636363636363635,Positive
42,Our commitment to reducing our environmental impact doesn’t end after Earth Day. Learn more about Pfizer’s efforts… ,0.5,0.5,Positive
43,"For more than 130 years, we have remained committed to vaccine research and development. Read more about one of our… ",0.5,0.5,Positive
44,"Our Chief Patient Officer, Dr. Dara Richardson-Heron stopped by  to talk COVID19 vaccines &amp; answer… ",0.0,0.0,Neutral
45,Calling all creatives! We need YOU to design for science. Join our live brief on April 27 to learn how we can work… ,0.41666666666666663,0.06818181818181818,Positive
46,"Today, our own Sandeep Menon joined  &amp; fellow panelists for an  webinar on the potential for dig… ",1.0,0.3,Positive
47,"Climate Change has a profound impact on human health. In continuing to do our part, we're happy that… ",0.7000000000000001,0.29444444444444445,Positive
48,"We’re proud to celebrate Earth Day, and remain dedicated to taking science-driven actions to protect our beautiful… ",1.0,0.8,Positive
49,We must stand for equity — as a company and as human beings — and continue to have courageous conversations about race.…,0.1,0.0,Neutral
50,"Pfizer, together with over 400 businesses, calls on the Biden Administration to establish the ambitious and attaina… ",0.75,0.25,Positive
51,"Through our antibiotic donation program w/ , we’re proud to have contributed to the elimination of… ",1.0,0.8,Positive
52,"Karina has lived with eczema, or atopic dermatitis (AD), since childhood. She’s battled itchy skin, bullying, and… ",0.0,0.0,Neutral
53,We are deeply committed to our value of Equity and pleased to be recognized by  as 21 on its list of Americ… ,0.7,0.25,Positive
54,Check out the article “The Next Challenge in Combatting COVID19 —Building Vaccine Trust in Communities of Color” v… ,0.0,0.0,Neutral
55,We’re proud to partner with  to donate millions of doses of our opioid overdose reversal therapy as pa… ,1.0,0.8,Positive
56,"Next month, our Chief Development Officer  will be recognized as the 2020/2021 Honorable Mentor by… ",0.0,0.0,Neutral
57,"Co-lead of our Multicultural Health Equity Collective, Melissa Bishop-Murphy worked with our longstanding community… ",0.0,0.0,Neutral
58,Ensuring diversity of volunteers in clinicaltrials is a matter of both equity and good science. At  we stand by…,0.6000000000000001,0.7,Positive
59,"Congratulations to , our Chief Development Officer, for this great recognition of his efforts to help… ",0.75,0.8,Positive
60,Join us today for a conversation about efforts to help vaccinate Americans. ,0.0,0.0,Neutral
61,"Today, our partners  announced a new milestone toward our shared goal to generate the world’s largest d… ",0.45454545454545453,0.13636363636363635,Positive
62,"Watch today at 1p EST as our Chief Patient Officer, Dr. Dra Richardson-Heron joins a  &amp;  even… ",0.0,0.0,Neutral
63,A statement from Pfizer: ,0.0,0.0,Neutral
64,The next big thing in the fight against the pandemic could be antivirals. These medicines reduce viral symptoms and… ,0.05,0.0,Neutral
65,"BREAKING: Today, with , we submitted a request to US FDA to expand emergency use of our COVID-19 vac… ",0.0,0.0,Neutral
66,"This WorldHealthWorkerWeek, we recognize the impact of community health workers, like our partners ,… ",0.0,0.0,Neutral
67,"In this episode of Behind the Sc(i)en(c)e, discover the science behind developing an oral small molecule to potenti… ",0.6,-0.35000000000000003,Negative
68,"This WorldHealthDay, learn more from Darren Back, who spoke with  about how partnerships are helping address… ",0.25,0.25,Positive
69,(1/3) ADANEWS: We’ve teamed up with The Pfizer Foundation to address food insecurity and high rates of diabetes in com…,0.5399999999999999,0.16,Positive
70,"Maintaining supply of essential medications is crucial, especially during a global health crisis. 

During the… ",0.575,0.0,Neutral
71,"Take a look inside our Kalamazoo, Michigan, manufacturing facility, with Mike McDermott and 
’s ,… ",0.0,0.0,Neutral
72,Our colleague Hector Cacique traveled over 300 kilometers in Argentina to ensure that one of our Covid19 clinical… ,0.0,0.0,Neutral
73,"Today, we broke ground on a $450M expansion of Pfizer’s largest manufacturing facility in Kalamazoo, MI. It is esti… ",0.0,0.0,Neutral
74,"In this episode of Behind the Sc(i)en(c)e, one of our scientists explains how we’re developing an investigational a… ",0.7,-0.4,Negative
75,Updated topline analysis of 927 confirmed symptomatic cases of COVID19 from the landmark Pfizer-BioNTech COVID-19… ,1.0,0.4,Positive
76,"Every day, and especially today on International Transgender Day of Visibility, we support, stand in solidarity wit… ",0.5,0.0,Neutral
77,"Today, with , we announced positive topline results in adolescents 12-15 years of age from the Phase… ",0.5454545454545454,0.22727272727272727,Positive
78,"In the U.S., certain minority populations are disproportionally affected by colorectalcancer. Learn more about hea… ",0.5357142857142857,0.35714285714285715,Positive
79,The liver is one of the most important organs in the body. Understand how to recognize and prevent the progressive… ,0.75,0.45,Positive
80,"According to , Cdiff infection is an urgent public health threat. To help raise awareness, in partnership w… ",0.06666666666666667,0.0,Neutral
81,Our COVID-19 vaccines land in Mongolia!  Thank you COVAX and ! ,0.0,0.0,Neutral
82,"We, together with , are proud to announce the start of a global study to evaluate the safety, tolera… ",0.5,0.4,Positive
83,Disrupting the way in which cancer cells assemble proteins has the potential to be a novel way to treat cancers an… ,1.0,0.0,Neutral
84,An important day for the people of Tunisia!  Congratulations to  and all of the COVAX partners.  We are pr… ,1.0,0.5,Positive
85,An exciting milestone for WestBank and Gaza!  Congratulations to  and COVAX on another step towards endin… ,0.8,0.375,Positive
86,"Today, we announced that we’ve started testing the safety profile of our novel oral antiviral investigational drug… ",0.0,0.0,Neutral
87,Congratulations to our Chairman &amp; CEO  who was presented  of Conscience Award “for his lead… ,0.0,0.0,Neutral
88,"Last month, Our Chief Development and Business Officers,  and , spoke at their alma mater… ",0.06666666666666667,0.0,Neutral
89,"2020 brought unique challenges and an unprecedented threat.

How did Pfizer create, innovate and lead in the face o… ",0.95,0.4875,Positive
90,"The  documentary ""Mission Possible-The Race for a Vaccine"" premiered last week--uncovering the history-makin… ",0.03333333333333333,0.0,Neutral
91,"By inhibiting select Janus kinases, proteins that tell immune cells how to react, there’s a possibility to combat… ",0.0,0.0,Neutral
92,"From vaccine confidence to clinical trial diversity, creating better public health outcomes means addressing health… ",0.2833333333333333,0.25,Positive
93,What can we learn from local innovators responding to COVID-19? Read more in  from Pfizer’s Caroline Roa… ,0.25,0.25,Positive
94,Black Americans are more likely to get multiplemyeloma but are often underrepresented in clinicaltrials. Learn ab… ,0.6444444444444445,0.11111111111111112,Positive
95,"At Pfizer and around the world, women scientists are leading the charge on COVID19 vaccine development. Join Dr.… ",0.0,0.0,Neutral
96,"At Pfizer, we know that we alone cannot combat the COVID-19 pandemic, systemic racial inequalities, and climate cha… ",0.0,0.0,Neutral
97,"By 2030, ~12.1 million people are projected to have atrial fibrillation, or AFib, as the U.S. population ages. It’… ",0.0,0.0,Neutral
98,"2020 was a year like no other. In the face of simultaneous health, economic, cultural &amp; environmental crises, we to… ",0.22499999999999998,0.12083333333333335,Positive
99,Annual Review: We look back on a year of unique challenges and breakthrough innovations.,0.5,0.1875,Positive
100,"Following the authorization for emergency use of the Pfizer-BioNTech COVID-19 Vaccine in Israel on 6 Dec 2020, the… ",0.1,0.0,Neutral
101,It’s been one year since  declared COVID19 a pandemic. Looking back at how we were able to support an ambitiou… ,0.3125,0.25,Positive
102,Today we announced real-world evidence confirming the high effectiveness of our COVID19 vaccine. The findings from… ,0.5399999999999999,0.16,Positive
103,"Cases of kidneycancer are increasing among all racial groups in the US, with the largest increase seen in Black Am… ",0.43333333333333335,-0.16666666666666666,Negative
104,Thursday marks the 1️⃣  year anniversary of  declaring COVID19 a global pandemic. Follow the past year's journ… ,0.125,-0.125,Negative
105,Nearly half of older people living with cancer say they’ve experienced at least one barrier to treatment during… ,0.44999999999999996,0.125,Positive
106,"In the U.S., 70% of colorectalcancer cases are diagnosed in people over 65 years of age &amp; 40% over 75 years of age… ",0.0,0.0,Neutral
107,“It’s just overall feeling very restricted in what I’m able to do. Because I don’t know when the pain is going to c… ,0.30833333333333335,0.2333333333333333,Positive
108,"Watch as Darren Back,  and others in the GlobalHealth community share with … ",0.0,0.0,Neutral
109,"More than just step count, wearables can show a more holistic picture of life with atopicdermatitis. In a new… ",0.5,0.5,Positive
110,Participants in the Women Inspiring Women 2020-2021 program share their perspectives on the value of building a com… ,1.0,0.5,Positive
111,"To end cancer as we know it, we all need to work together. We’re committed to doing our part to develop breakthroug… ",0.0,0.0,Neutral
112,Our new publication in  examined the structure of a key potential vaccine antigen from cytomegalovi… ,0.8181818181818182,0.04545454545454545,Positive
113,"Roughly 1 in 100,000 people worldwide suffer from Dermatomyositis (DM), a rare autoimmune disorder. In Behind the… ",0.6666666666666666,-0.06666666666666668,Negative
114,The delivery of our vaccines to Rwanda through the COVAX AMC today marks a key milestone for us and our partners… ,1.0,0.0,Neutral
115,We’re proud to partner with Anthem Inc. &amp; other orgs. to expand Take Action for Health/Tomando Acción por Nuestra S… ,0.4916666666666667,0.25833333333333336,Positive
116,Obesity impacts over 650 million adults worldwide today. Pfizer is working hard to help increase understanding of o… ,0.5416666666666666,-0.2916666666666667,Negative
117,Non-alcoholic steatohepatitis (NASH) is a progressive disease that’s caused by fat buildup in the liver. In some ca… ,0.0,0.0,Neutral
118,"Ensuring that the Covid19 vaccine clinical trial participant numbers were diverse was a priority, &amp; Niesha Foster,… ",0.0,0.0,Neutral
119,We’re working to meet the needs of the 400 million people affected by rarediseases by developing breakthrough trea… ,0.0,0.0,Neutral
120,"Add some science 🧫  🧪 to your Saturday! With only a few ""ingredients"" &amp; simple instructions, watch as one of our s… ",0.48571428571428577,-0.06666666666666667,Negative
121,Pfizer’s manufacturing team plays a significant role in delivering breakthroughs for patients across the globe. Lea… ,0.875,0.375,Positive
122,"In addition to our work in vaccines, we have a long history of developing &amp; manufacturing effective antiviral ther… ",0.6000000000000001,0.27499999999999997,Positive
123,"We are raising awareness of the need for equity in the raredisease community. Collectively, people living with a r… ",0.0,0.0,Neutral
124,Kathrin Jansen joins global health leaders today at the  VaccineSymposium for a discussion on the Pfiz… ,0.0,0.0,Neutral
125,"Today, with , we started an evaluation of the safety and immune response of a third dose of the Pfiz… ",0.0,0.0,Neutral
126,Kathrin Jansen will be joining  COVID19 VaccineSymposium tomorrow to provide industry perspective on… ,0.0,0.0,Neutral
127,Our Chief Development Officer  shared with  the important lessons learned from COVID19 that… ,1.0,0.4,Positive
128,PfizerBlackHistoryMaker Markus attributes his success to his unwavering faith and passion for serving others. His… ,0.0,0.3,Positive
129,"This BlackHistoryMonth, we are celebrating our own trailblazers, like Bert Bruce, who shares what being a… ",1.0,0.6,Positive
130,"Today at BioComGlobalPartnering 2021, our own Uwe Schoenbeck is sharing why we believe partnerships are vital to… ",0.7,0.35,Positive
131,"LIVE NOW: John Young, our Chief Business Officer, sits down with the  Committee to discuss expanding… ",0.3962962962962963,0.026936026936026924,Positive
132,How can we maintain progress on GlobalHealth priorities in a COVID-19 world? At  PrescriptionForProgress Da… ,0.0,0.0,Neutral
133,Severe hypertriglyceridemia (SHTG) may lead to conditions such as acute pancreatitis and cardiovascular disease. Do… ,0.7,0.3,Positive
134,"Today: John Young, our Chief Business Officer, is taking part in an important hearing with  on expan… ",0.7,0.25,Positive
135,"It takes a lot of people to research and develop a successful drug, but that’s just the beginning. Find out more ab… ",0.725,0.625,Positive
136,"In conditions like osteoarthritis, there is an overproduction of biochemical mediators, including nerve growth fac… ",0.0,0.0,Neutral
137,"PfizerProud to have  stop by our Kalamazoo, Michigan site and recognize our essential manufacturing &amp; supply… ",0.3,0.0,Neutral
138,"Our CEO,  sharing Covid19 vaccine manufacturing updates from our Kalamazoo, Michigan site after… ",0.0,0.0,Neutral
139,"We're excited to partner with  on a new documentary ""Mission Possible: The Race for A Vaccine."" Before it ai… ",0.5511363636363636,0.1278409090909091,Positive
140,"While vaccines help to prevent people from getting viruses, antivirals treat people who have already been infected.… ",0.0,0.0,Neutral
141,Today we shared new data with  demonstrating the stability of our COVID19 vaccine when stored at -25°C to -… ,0.45454545454545453,0.13636363636363635,Positive
142,Know a Black chemist who deserves acclaim? Share their story to help us celebrate Black History Month. We'll be highlighting 30…,0.43333333333333335,-0.16666666666666666,Negative
143,A big milestone for the  which has raised an additional $140M. We are proud to be a part of the world… ,0.55,0.4,Positive
144,In honor of BlackHistoryMonth we are sharing stories from our colleagues who are making history in their families… ,0.0,0.0,Neutral
145,"“Sometimes my self-esteem is there, other days I can’t find something to wear that won’t make me itch or that doesn… ",0.375,-0.125,Negative
146,Bispecific antibodies are a promising type of therapy under investigation for multiplemyeloma and other types of c… ,0.4375,0.037500000000000006,Positive
147,"NGF–or nerve growth factor–is a biochemical mediator which, when released at the site of injury or inflammation, bi… ",0.0,0.0,Neutral
148,"We have a long history of developing &amp; manufacturing effective antiviral therapies and vaccines, which helped us j… ",0.6000000000000001,0.27499999999999997,Positive
149,"Barbara has a candid conversation with , President and CEO of , on why she believes the i… ",0.8,0.6,Positive
150,Wishing you all a ValentinesDay that's positively charged with love! ⚛️💘 ,0.5727272727272728,0.42613636363636365,Positive
151,We are proud to have this supply agreement with  in place for our COVID19 vaccine as a key step towards rea… ,1.0,0.4,Positive
152,"We’re ready for another 1️⃣7️⃣0️⃣➕ years of breakthroughs, but first, a stroll down memory lane to look at where we… ",0.37407407407407406,0.09814814814814814,Positive
153,Girls in STEM today become the scientists👩🏽‍🔬👩🏻‍🔬👩🏿‍🔬👩🏼‍🔬👩🏾‍🔬 of tomorrow. PfizerProud of all our scientists &amp; eng… ,0.0,0.0,Neutral
154,We’re committed to developing breakthrough medicines that have potential to improve the lives of patients with non-… ,1.0,0.0,Neutral
